index,scenename,name,tag,posx,posy,posz,rotx,roty,rotz,scalex,scaley,scalez
1,Village,Building,Castle_Banner,29.29,0,39.49,0,180,0,1,1,1
2,Village,Building,Castle_Banner,20.85,0,39.49,0,180,0,1,1,1
3,Village,Building,Wall_Gate,25.23,0,1.06,0,90,0,1,1,1
4,Village,Building,Wall_Corner,29.9177,0,1.631333,270,90,0,1,1,1
5,Village,Building,Wall_Corner,1.55,0,1.631333,270,90,0,1,1,1
6,Village,Building,Wall_Wall,49.28,0,15.02,270,0,0,1,1.332743,1.1184
7,Village,Building,Wall_Corner,48.78,0,29.61,270,90,0,1,1,1
8,Village,Building,Wall_Corner,48.78,0,1.631333,270,90,0,1,1,1
9,Village,Building,Wall_Wall,49.28,0,43.04,270,0,0,1,1.332743,1.1184
10,Village,Building,Wall_Corner,20.62,0,1.631333,270,90,0,1,1,1
11,Village,Building,Wall_Wall,49.28,0,35.07,270,0,0,1,1.332743,1.1184
12,Village,Building,Wall_Wall,7.1,0,1.11,270,90,0,1,1.332743,1.1184
13,Village,Building,Wall_Wall,27.19,0,49,270,90,0,1,1.365661,1.1184
14,Village,Building,Wall_Wall,12.5055,0,49,270,90,0,1,1.007454,1.1184
15,Village,Building,Wall_Wall,19.2,0,49,270,90,0,1,1.332743,1.1184
16,Village,Building,Wall_Wall,43.25,0,49,270,90,0,1,1.332743,1.1184
17,Village,Building,Wall_Corner,1.57,0,29.61,270,90,0,1,1,1
18,Village,Building,Wall_Wall,6.2015,0,49,270,90,0,1,1.099993,1.1184
19,Village,Building,Wall_Wall,49.28,0,7.05,270,0,0,1,1.332743,1.1184
20,Village,Building,Wall_Wall,1.090001,0,7.05,270,0,0,1,1.332743,1.1184
21,Village,Building,Wall_Wall,35.26,0,49,270,90,0,1,1.332743,1.1184
22,Village,Building,Wall_Wall,1.09,0,35.07,270,0,0,1,1.332743,1.1184
23,Village,Building,Wall_Corner,48.78,0,20.48,270,90,0,1,1,1
24,Village,Building,Wall_Gate,1.260003,0,25.04,0,0,0,1,1,1
25,Village,Building,Wall_Corner,1.55,0,48.5,270,90,0,1,1,1
26,Village,Building,Wall_Corner,48.78,0,48.5,270,90,0,1,1,1
27,Village,Building,Wall_Wall,1.090001,0,43.04,270,0,0,1,1.332743,1.1184
28,Village,Building,Wall_Wall,29.87,0,43.98,270,0,0,1,1.332743,1.1184
29,Village,Building,Wall_Wall,1.090001,0,15.02,270,0,0,1,1.332743,1.1184
30,Village,Building,Wall_Gate,49.45,0,25.04,0,0,0,1,1,1
31,Village,Building,Wall_Wall,20.05,0,43.98,270,0,0,1,1.332743,1.1184
32,Village,Building,Wall_Wall,35.26,0,1.11,270,90,0,1,1.332743,1.1184
33,Village,Building,Wall_Corner,1.5,0,20.48,270,90,0,1,1,1
34,Village,Building,Wall_Wall,43.25,0,1.11,270,90,0,1,1.332743,1.1184
35,Village,Building,Wall_Wall,15.09,0,1.11,270,90,0,1,1.332743,1.1184
36,Village,Building,Barracks,45.08,0,10.01,270,180,0,1,1,1
37,Village,Building,Market,17.14,0,16.19,270,90,0,1,1,1
38,Village,Building,Stables,5.44,0,15.68,270,90,0,1,1,1
39,Village,Building,Granary,43.55,0,4.37,270,270,0,1,1,1
40,Village,Building,Blacksmith,5.4,0,5.08,270,90,0,1,1,1
41,Village,Building,Castle,25.01,0,43.74,270,90,0,1,1,1
42,Village,Building,MageTower,37.29,0,44.41,270,180.7039,0,1,1,1
43,Village,Building,House,32.89,0,17.81,270,90,0,1.07,1.07,1.07
44,Village,Building,House,32.94,0,9.49,270,90,0,1.07,1.07,1.07
45,Village,Building,Library,44.89,0,36.47,270,180,0,1,1,1
46,Village,Building,Archery,5.59,0,44.9,270,90,0,1,1,1
1,Village,BackGround,plant,43.8,0,42.26,0,0,0,0.64699,0.64699,0.64699
